#p.58
うつくし	愛し	①（客観的に）かわいらしい	→らうたし
うつつ	現	①現実	
うつろふ	移ろふ	①色が褪せる ②心が離れる	
うとし	疎し	①疎遠で素っ気ない	
うへ	上	①天皇 ②北の方・奥方・正妻	
うみす［うんず・うず］	倦みす［倦んず・倦ず］	①うんざりする	
うらなし	心無し	①心の隔てなくざっくばらんだ	
うるさし	煩し	①面倒で嫌だ ②巧みで賢い	→むつかし・うるせし
うるせし		①巧みで賢い	→うるさし
うるはし	麗し	①整って美しい	
えうなし	要無し	①つまらない	→あいなし・あぢきなし
え…ず	得…ず	①…できない	→あへず・えもいはず・…かたし・…かぬ
えもいはず	えも言はず	①言いようもない ②言いようもなく素晴らしい ③言いようもなくひどい	→いふかたなし［いはむかたなし］
えんなり	艶なり	①優雅だ・優美だ・上品だ ②妖艶で色っぽい	→なまめかし
おいらかなり		①おっとり落ち着いた	
おきつ	掟つ	①決定する ②命令する	
おくる	後る	①後になる・劣る ②後に残される・死に後れる	「おくらす」＝後に残す・先に死ぬ
おこす	遣す	①（物を）送ってくる ②（人を）よこす	「…おこす」＝遠くから近くに…する／→やる
おこたる	怠る	①病気が良くなる ②怠る	→なやむ・わづらふ
おこなふ	行ふ	①仏前勤行する ②仏道修行する	「おこなひ」＝仏前勤行・仏道修行／→ぎやうず
おづ	怖づ	①恐れておどおどする	
おと	音	①音・擦れ・訪れ ②噂・評判	「おとなふ」＝音を立てる・訪れる／→おぼえ・きこえ・な
おとど［おほいどの］	大臣・大殿	①大臣	
おとと	弟・妹	①弟・妹	
おとなし	大人し	①大人っぽい ②思慮分別がありしっかりしている	→をさをさし
おどろく	驚く	①目が覚める ②はっと気が付く	
おどろおどろし		①仰々しくてものすごい ②非常に不気味で恐ろしい	
おのがじし	己がじし	①めいめい思い思いに	
おのづから	自ら	①自然と ②たまたま・偶然 ③万一…《仮定》	→たまさかなり
おはす［おはさふ・おはさうず］／おはします［おはしまさふ］	御座す／御座します	①「有り・居り・行く・来」の《尊敬語》	→います・ます［まします］
#p.62
おほけなし	大気甚し	①身分不相応だ	
おぼえ	覚え	①噂・評判 ②（主に男性に対する）信望 ③（主に女性に対する）寵愛	→おと
おほす	仰す	①「言ふ」の《尊敬語》	→のたまふ［のたまはす］
おぼす［おぼしめす］	思す［思し召す］	①「思ふ」の《尊敬語》	
おぼつかなし	覚束無し	①はっきりしない ②待ち遠しくそわそわしている ③気がかりでそわそわしている	→こころもとなし
おほとのごもる	大殿籠る	①「寝」の《尊敬語》	
おほやけ	公	①天皇 ②朝廷	
おぼろけなり		①並・一通りで平凡で普通だ ②「おぼろけならず」＝並・一通りでなくて非凡で格別だ	
おもて	面	①顔 ②面目	「おもてぶせ」＝不名誉／「おもておこし」＝名誉
おもしろし	面白し	①興味深い ②趣深い ③滑稽だ	→をかし（げなり）
おもひやる	思ひ遣る［心遣る］	①思いを馳せる ②気分を晴らす	→やる
およすく	老よすく	①成長する・大人になる・年をとる	→ねぶ［ねびゆく］
おろかなり	疎かなり	①不十分だ	→いふもおろかなり
おんぞ［おほんぞ・みそ・みけし］	御衣	①お召し物	
かいまみる	垣間見る	①垣根の隙間から覗き見する	
かきくらす	掻き暗す	①心を暗くする	
かぎり	限り	①時期 ②限度 ③臨終	「いまはかぎり」＝もはやこれまで
かげ	影	①光 ②姿	
かけて…		①少しも【全く・決して】…《打消》	→さらに…・たえて…・つやつや…・ゆめ（ゆめ）…・よに…
かこつ	託つ	①不平不満を言う	「かごと」＝不平不満
かしこ	彼処	①あそこ・あちら	
かしこし	畏し・恐し	①畏れ多い ②賢く優れている	「かしこく」＝うまく【非常に】…する／→かたじけなし・さかし・さとし
かしこまり	畏まり	①畏れ多いこと ②お詫び ③お礼 ④お咎め	
かしづく	傅く・頭付く	①大切に世話する	→いつく
かしらおろす	頭下ろす	①出家する	→かたちをかふ・ちりをいづ・みぐしおろす・やまずみす・よをいとふ［かる・すつ・そむく・のがる］
かずまふ［かぞまふ］	数まふ	①一人前として数に入る	
かたくななり	頑ななり	①思慮分別がなく趣を解さない	→すくよかなり・ふつつかなり
かたし	難し	①…できない	→あへず・え…ず・…かぬ
#p.63
かたじけなし	辱し・忝し	①畏れ多い	→かしこし
かたち	形・容・貌	①容貌	
かたちをかふ	形［容・貌］を変ふ	①出家する	→かしらおろす・ちりをいづ・ほつしんす・みぐしおろす・やまずみす・よをいとふ［かる・すつ・そむく・のがる］
かたはらいたし	傍ら痛し	①側で見聞して苦々しい ②側で見聞されて苦々しい	
かたほなり	片秀なり	①不完全だ	→まほなり
かたへ	片方	①一方（の人） ②側（の人）	
かたみに	互（に）	①お互い（に）	
かたみ	形見	①思い出す拠り所	
かち	徒歩	①徒歩	
かづく	被く・肩付く／潜く	①頭にかぶる・褒美をもらう《四段》 ②頭にかぶせる・褒美を与える《下二段》 ③潜る【潜く】	
